Date;Last Price
2020-06-25 03:30:00;-47.8
2020-06-25 03:00:00;-47.75
2020-06-25 02:30:00;-47.75
2020-06-25 02:00:00;-47.875
2020-06-25 01:30:00;-47.875
2020-06-25 01:00:00;-47.875
2020-06-25 00:30:00;-47.875
2020-06-25 00:00:00;-47.938
2020-06-24 23:30:00;-48
2020-06-24 23:00:00;-48
2020-06-24 22:30:00;-48
2020-06-24 22:00:00;-48
2020-06-24 21:30:00;-47.975
2020-06-24 21:00:00;-47.938
2020-06-24 20:30:00;-48
2020-06-24 20:00:00;-48
2020-06-24 17:00:00;-48.125
2020-06-24 16:30:00;-48.043
2020-06-24 16:00:00;-48.125
2020-06-24 15:30:00;-48.313
2020-06-24 15:00:00;-48.355
2020-06-24 14:30:00;-48.25
2020-06-24 14:00:00;-48.25
2020-06-24 13:30:00;-48.365
2020-06-24 13:00:00;-48.25
2020-06-24 12:30:00;-48.25
2020-06-24 12:00:00;-48.375
2020-06-24 11:30:00;-48.375
2020-06-24 11:00:00;-48.371
2020-06-24 10:30:00;-48.058
2020-06-24 10:00:00;-48
2020-06-24 09:30:00;-47.811
2020-06-24 09:00:00;-47.853
2020-06-24 08:30:00;-47.912
2020-06-24 08:00:00;-47.933
2020-06-24 07:30:00;-48.095
2020-06-24 07:00:00;-48.027
2020-06-24 06:30:00;-48
2020-06-24 06:00:00;-48.25
2020-06-24 05:30:00;-48.25
2020-06-24 05:00:00;-48.25
2020-06-24 04:30:00;-48.25
2020-06-24 04:00:00;-48.25
2020-06-24 03:30:00;-48.725
2020-06-24 03:00:00;-48.688
2020-06-24 02:30:00;-48.75
2020-06-24 02:00:00;-48.688
2020-06-24 01:30:00;-48.75
2020-06-24 01:00:00;-48.75
2020-06-24 00:30:00;-48.75
2020-06-24 00:00:00;-48.75
2020-06-23 23:30:00;-48.75
2020-06-23 23:00:00;-48.75
2020-06-23 22:30:00;-48.75
2020-06-23 22:00:00;-48.75
2020-06-23 21:30:00;-48.75
2020-06-23 21:00:00;-48.75
2020-06-23 20:30:00;-48.75
