,,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés
,,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois
,14/10/2016,,,,,,,,,,"1,205","3,914",583,601,,,176,,27,,"3,713",,,,,,,,,,488,,,,,,,,,,,,,,,,,,,,
,21/10/2016,,,,,,502,,,,398,"6,563",393,,,,437,,134,95,"2,308",,,,,,154,,,,206,,,,,,,,,,,,,,,,,,,,
,28/10/2016,,,,,,,,35,,,"5,559",567,,691,,681,12,653,317,"3,215",,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,
,04/11/2016,,,,,,,,,,55,"3,469","1,539",,,258,965,,,,"4,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/11/2016,,,,,,,,84,,158,"3,660","1,823",57,76,65,555,,125,,893,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,
,18/11/2016,,,,,,,,435,,415,"7,122","1,649",,,41,711,,85,,589,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,
,25/11/2016,,,,,,,,,,33,"5,832","1,828",,624,128,"1,280",,82,160,606,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,
,02/12/2016,,,,,,,,108,,,"4,886","2,554",,76,,"2,207",,197,,"2,676",,,,"1,506",,573,,,,,,,,,,,,,,,,,,,,,,,,27
,09/12/2016,,,,,,,,,,525,"5,671","3,824",,,6,323,,27,,"2,266",,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,
,16/12/2016,,,,,,,,,,680,"3,095","2,235",,,51,309,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,23/12/2016,,,,,,,,,,257,"2,373","2,125",323,839,81,624,38,103,,548,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,5
,30/12/2016,,,,,,,,,,32,"7,365",525,,116,,"1,038",,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,
,06/01/2017,,,,,,,,63,,,"7,117","2,640",,,,995,,123,,"2,949",,,,,,,,,,964,,,,,,,,,,,,,,,,153,,,,248
,13/01/2017,,,,,,,,,,59,"6,355","3,055",,,,"1,556",47,164,,"3,068",,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,105
,20/01/2017,,,,,,87,,,,215,"4,899","2,935",,,1,233,,141,,"5,053",,,,,,29,,,,277,,,,,,,,,,,,,,,,,,,,
,27/01/2017,,,,,,139,,,,,"4,791",,,588,,"1,948",,156,195,"1,685",,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,
,03/02/2017,,,,,,,,,,,"3,622","2,704",,,,"2,218",152,140,,"3,450",,,,,,,,39,,389,,,,,,,,,,,,,,,,81,,,,
,10/02/2017,,,,,,,,200,,224,"5,367","3,820",,,,651,40,525,,"2,752",,,,,,,,,,734,,,,,,,,,,,,,,,,57,,,,3
,17/02/2017,,,,,,270,,,,543,"5,625","3,659",,,,437,,,,"1,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24/02/2017,,,,,,,,175,,,"4,420","2,300",,705,,616,,143,,"2,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03/03/2017,,,,,,,,,,137,"5,495","3,940",,,,"1,220",,122,,"1,170",,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,
,10/03/2017,,,,,,,,,,,"6,587",,"1,800",,,447,,189,,"1,959",,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,125
,17/03/2017,,,,,,,,,,,"5,354","1,394",,,,126,,315,,"2,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24/03/2017,,,,,,,,,,,"5,627",,,,,635,,57,,657,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,
,31/03/2017,,,,,,,,,,,"6,272",,,,,"3,165",,,,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
,07/04/2017,,,,,,,,,,,"4,159","1,498",,,,754,,114,37,"1,285",,,,,,799,,,,,,,,,,,,,,,,,,,,,,,,
,14/04/2017,,,,,,352,,,,,"2,412","2,548",,,,274,,23,,242,,,,,,195,,,,291,,,,,,,,,,,,,,,,,,,,
,21/04/2017,,,,,,,,464,,,"4,765",,,,,363,,34,,"1,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28/04/2017,,,,,,,,,,,"5,181",,,664,,768,,85,32,"1,178",,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,
,05/05/2017,,,,,,,,,,,"5,712",,,,,969,,,,916,,,,,,275,,,,190,,,,,,,,,,,,,,,,,,,,
,12/05/2017,,,,,,,,115,,124,"3,591","2,783",,,,"1,192",,,,"3,691",,,,,,,,,,"1,046",,,,,,,,,,,,,,,,83,,,,105
,19/05/2017,,,,,,,,,,,"2,496","3,260",,,,"1,514",,82,,"1,788",,,,,,,,,,383,,,,,,,,,,,,,,,,263,,,,137
,26/05/2017,,,,,,,,,,150,"2,899","1,957",,767,,"1,971",,218,,826,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,49
,02/06/2017,,,,,,,,,,26,"2,579","1,953",,,,579,,19,,"1,579",,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
,09/06/2017,,,,,,,,265,,,"3,386","2,350",,,,617,,174,,"4,219",,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,
,16/06/2017,,,,,,,,,,,"6,227",,,,,603,,222,310,964,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,
,23/06/2017,,,,,,,,,,,"2,260",,,,,499,,106,,"2,183",,,,,,,,,,,,,,,,,,,,92,,,,,,237,,,,
,30/06/2017,,,,,,195,,,,,"4,641",606,,,605,"1,619",,,,471,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,42,52
,07/07/2017,,,,,,,,,,,"2,958",741,,,,676,,128,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/07/2017,,,,,,,,,,,"4,022",,,,,503,,50,,"2,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,21/07/2017,,,,,,,,,,,"3,369",,,,,606,,114,,"2,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28/07/2017,,,,,,,,,,765,"4,207",,,"1,583",,"3,458",,146,,"3,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04/08/2017,,,,,,121,,45,,,"1,799",,,,,443,51,151,,"4,234",,,,,,,,,,431,,,,,,,,,,"1,074",,,,,,45,,,,
,11/08/2017,,,,335,,,,,,25,"1,487","1,456",,,,668,,225,142,"4,393",,,,,,,,,,,,,,,,,,,,406,,,,,,78,,,,29
,18/08/2017,,,,,,,,45,,,,"1,377",,,,564,,11,60,472,,,,,,,,,,98,,,,,,,,,,,,,,,,446,,,,
,25/08/2017,,,,,,,,,,,791,,,786,,807,,161,,"3,953",,,,,,63,,,,,,,,,,,,,,,,,,,,104,,,,
,01/09/2017,,,,,,40,,,,,"3,560",,,,"1,635",420,,167,,"2,072",,,,,,,,,,238,,,,,,,,,,,,,,,,136,,,,
,08/09/2017,,,,,,,,,,,"1,888",,,,,812,,136,,"4,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15/09/2017,,,,,,,,90,,,555,,,,,422,,49,,"2,063",,,,,,,,,,212,,,,,,,,,,114,,,,,,119,,,,4
,22/09/2017,,,,,,,85,,,,"2,765",997,,,,330,12,167,,"2,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29/09/2017,,,,,,,,35,,,"3,898","1,146",,149,263,"3,945",,358,,672,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,24
,06/10/2017,,,,,,,,,,,"2,673","1,587",,,68,540,55,59,,"1,777",,,,,,,,,,115,,,,,,,,,,189,,,,,,,,,,35
,13/10/2017,,,,,,,,,,776,"3,137","2,487",,,,264,275,126,281,"4,714",,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,
,20/10/2017,,,,,,,,,,,"3,566","2,051",,,,378,,86,,"2,756",,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,
,27/10/2017,,,,,,,,272,,,"4,941",697,,430,,"1,222",,43,,"1,277",,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,120
,03/11/2017,,,,,,,,,,553,"1,957",921,,,,862,,,,"2,255",,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,
,10/11/2017,,,,,,,,,,663,"3,209",463,,,218,857,150,121,,"2,156",,,,,,,,,,642,,,,,,,,,,647,,,,,,70,,,,
,17/11/2017,,,,,,,,,,560,"4,355",326,,,163,464,,76,55,449,,,,,,,,,,,,,,,,,,,,747,,,,,,170,,,,
,24/11/2017,,,,,,,,,,223,"3,293",360,,,,684,80,207,,"1,303",,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,
,01/12/2017,,,,,,,,,,470,"4,739",,,,160,"3,028",,80,,"1,409",,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,180
,08/12/2017,,,,,,,,,,,"5,000",,,307,,673,105,218,,368,,,,,,,,,,,,,,,,,,,,,,,,,,114,,23,,69
,15/12/2017,,,,,,,,,,,"3,605",,,,,960,,56,,"3,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
,22/12/2017,,,,,,,,275,,,"2,530","2,357",,,300,455,,142,,"1,730",,,,,,,,,,,,,,,,,,,,,,,,,,76,,59,,167
,29/12/2017,,,,,,,,,,,"1,035",,,,240,"2,342",,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,
,05/01/2018,,,,,,,,,,,"5,740",985,,,81,896,,,,"1,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173
,12/01/2018,,,,,,75,,125,,259,,,,,,457,,46,175,"4,764",,,,,,,,,,"1,740",,,,,,,,,,,,,,,,44,,,,
,19/01/2018,,,,,,,,,,113,"3,803","1,456",,,,665,,175,,"4,412",,,,,,,,,,450,,,,,,,,,,,,,,,,124,,,,
,26/01/2018,,,,,,,,132,,,"1,387",,,"2,935",,539,,188,150,"1,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02/02/2018,,,,,,,,,,348,"2,380",,,,,"1,997",,403,,"6,665",,,,,,,,,,997,,,,,,,,,,,,,,,,192,,,,
,09/02/2018,,,,,,,,,,415,"1,082",406,,,145,420,,167,,"1,074",,,,,,172,,135,,589,,,,,,,,,,,,,,,,85,,,,142
,16/02/2018,,,,,,,,,,,"2,945",,,,,295,,,,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
,23/02/2018,,,,,,,,,,,"3,460",,,460,,394,,194,,"3,067",,,,,,,,,,46,,,,,,,,,,,,,,,,77,,,,
,02/03/2018,,,,,,230,,45,,,"2,120","1,404",,,33,"1,922",,483,,"1,590",,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,152
,09/03/2018,,,,,,,,,,,"3,222",907,,,152,827,,430,65,"1,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
,16/03/2018,,,,,,83,,145,,,"4,212",750,,,,397,,77,,923,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,
,23/03/2018,,,,,,,,,,,"5,031","1,154",,"1,416",,746,,286,,978,,,,,,,,,,"1,175",,,,,,,,,,,,,,,,66,,,,
,30/03/2018,,,,,,,,,,,"1,649","1,129",,,,"2,188",,,207,"3,570",,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,
,06/04/2018,,,,,,,,,,,"2,440",,,,,515,,45,,"3,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/04/2018,,,,,,99,,,,,"2,896",,,,,304,,325,,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
,20/04/2018,,,,,,301,,,,,"2,506",588,,,,755,,,45,844,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
,27/04/2018,,,,,,145,,,,165,"3,158",,,"1,641",41,705,,84,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04/05/2018,,,,,,,,,,,"2,480",445,,,,"1,736",,181,,247,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,
,11/05/2018,,,,,,,,,,,,,,,,299,,510,,"1,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18/05/2018,,,,,,,,,,,"3,594","1,150",,,,867,,197,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25/05/2018,,,,,,,,,,,"1,702",603,,,,317,,182,,"1,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01/06/2018,,,,,,140,,,,,"2,647",,,,,"2,366",,329,,"2,227",,,,,,,,,,,,,,,,,,,,,,,,,,204,,60,,
,08/06/2018,,,,,,238,,,,,"1,320",,,,,846,180,296,210,"4,974",,,,,,,,,,,,,,,,,,,,,,,,,,53,,94,,
,15/06/2018,,,,,,,,,,,"1,501",382,,,,"1,466",,92,,"1,754",,,,,,,,,,,,,,,,,,,,,,,,,,268,60,,,
,22/06/2018,,,,,,,,,,,"1,062",,,,,521,,258,,964,,,,,,,,,,,,,,,,,,,,,,,,,,119,,63,,
