,,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés
,,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois
,29/06/2018,,,,,,166,,,,,730,,,,143,"2,178",,286,,"2,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,82
,06/07/2018,,,,,,,,265,,,520,875,,,,467,,,,"2,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/07/2018,,,,,,,,,,,,,,,,480,,156,,"3,038",,,,,,"1,005",,,,55,,,,,,,,,,,,,,,,,,,,
,20/07/2018,,,,,,,,,,,,,,,,390,,150,,852,,,,,,260,,,,131,,,,,,,,,,,,,,,,,,,,
,27/07/2018,,,,,,,,,,,"1,372",,,,,549,,,,"2,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
,03/08/2018,,,,,515,68,,,,,800,,,,,"2,075",,89,,"2,056",,,,,,152,,,,78,,,,,,,,,,,,,,,,54,,,,144
,10/08/2018,,,,,,,,,,197,,,,,,288,,528,,"2,969",,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,
,17/08/2018,,,,,,,,,,,,,,,,637,,195,,"1,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/2018,,,,,,,,,,35,577,,,,,952,,102,,"2,133",,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2018,,,,,,35,,,,,858,,,,,"1,553",,312,27,"2,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07/09/2018,,,,,,502,,460,,,"1,282",,,,,376,85,219,,"1,328",,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,228
,14/09/2018,,,,,,400,,,,100,"1,428",511,,,,751,90,92,,"4,970",,,,,,90,,,,243,,,,,,,,,,,,,,,,39,,,,55
,21/09/2018,,,,,,,,,,,,,,,,404,,115,,"2,184",,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,
,28/09/2018,,,,,,,,,,130,929,"1,627",,"1,467",,"2,394",,234,125,"2,497",,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,
,05/10/2018,,,,,,,,,,,"1,168",,,,65,"1,177",,380,150,"2,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/10/2018,,,,,,,,120,,,946,951,,,,695,,284,,"4,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19/10/2018,,,,,,,,,,,708,375,,,,245,110,70,,"3,388",,,,,,297,,,,340,,,,,,,,,,,,,,,,,,,,
,26/10/2018,,,,,,,,,,,,,,"1,706",,611,,105,83,"2,625",,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,130
,02/11/2018,,,,,,,,,,,,,,,,"1,088",,154,379,"2,440",,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,126
,09/11/2018,,,,,,,,,,,,,,,,443,,"1,034",,"2,786",,,,,,,,,,,,,,,,,,,,,,,,,,55,,55,,155
,16/11/2018,,,,,,,,,,59,"2,215",,,,,330,,572,,"3,559",,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,
,23/11/2018,,,,,,,,,,,,"1,490",,,,621,,95,132,"2,022",,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,
,30/11/2018,,,,,,75,,,,,,,,"1,430",,211,,228,92,772,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,
,07/12/2018,,,,,,,,,,,,,,,,537,,216,59,"3,251",,,,,,104,,,,,,,,,,,,,,,,,,,,,,45,,
,14/12/2018,,,,,,,,,,,,,,,,987,,62,,"1,931",,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,81
,21/12/2018,,,,,,,,,,,"2,367",,,,,"1,057",,,,"1,909",,,,,,,,,,,,,,,,,,,,,,,,,,221,,157,,133
,28/12/2018,,,,,,,,,,,"1,042",31,,"1,796",,984,,196,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04/01/2019,,,,,,,,,,,,,,"1,333",,863,,"1,053",,"1,802",,,,330,,755,,,,,,,,,,,,,,,,,,,,201,,,,
,11/01/2019,,,,,,,,,,730,571,"1,802",,,,"1,337",,950,,"2,912",,,,,,"1,792",,,,239,,,,,,,,,,,,,,,,,,,,
,18/01/2019,,,,,,,,,,115,,"1,875",,,,621,,645,,"2,294",,,,,,270,,,,,,,,,,,,,,,,,,,,,,73,,20
,25/01/2019,,,,,,,,,,,,,,"2,142",,487,,55,270,"3,374",,,,,,157,,,,169,,,,,,,,,,,,,,,,,,,,
,01/02/2019,,,,,,,,,,104,"1,064",,,,,480,,190,116,"1,172",,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,
,08/02/2019,,,,,,78,,,,,,,,,,501,,241,43,"5,301",,,,,,296,,130,,80,,,,,,,,,,,,,,,,62,,135,,
,15/02/2019,,,,,,42,,,,,"1,683",,,51,,734,,277,130,"1,118",,,,,,,,,75,280,,,,,,,,,,,,,,,,76,,,,
,22/02/2019,,,,,,123,,,,,"1,723",,,,,434,,189,,"1,838",,,,,,,,,,139,,,,,,,,,,,,,,,,93,,,,
,01/03/2019,,,,,,315,,,,30,"1,960",,,"1,419",,692,,473,,666,,,,,,,,145,,305,,,,,,,,,,,,,,,,,,51,36,
,08/03/2019,,,,,,,,,,,"1,603","2,271",,,,668,,136,,"1,324",,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,
,15/03/2019,,,,,,,,,,,"1,530",,,,,571,,100,,"2,016",,,,,,,,,,614,,,,,,,,,,,,,,,,75,,,,185
,22/03/2019,,,,,,120,,,,,"1,858",,,,,783,,47,,"1,867",,,,,,,,,,50,,,,,,,,,,,,,,,,144,,,,196
,29/03/2019,,,,,,,,,,,970,"1,550",,,,"1,509",,176,175,691,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,252
,05/04/2019,,,,,140,506,,,,615,735,"1,560",,,,794,,83,,"3,150",,,,,,,,,,75,,,,,,,,,,,,,,,,,,280,,
,12/04/2019,,,,,,,,115,,,853,,,,34,477,,226,127,"2,786",,,,,,,,,,"1,197",,,,,,,,,,,,,,,,,,,,113
,19/04/2019,,,,,,,,,,,,,,,,475,,123,,"2,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
,26/04/2019,,,,,,,,,,,"1,467",,,"1,980",,248,,61,,"2,341",,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,126
,03/05/2019,,,,,,,,,,,"1,830",,,,16,240,,144,115,"1,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/05/2019,,,,,,870,,,,,951,,,,,171,,85,,"2,018",,,,,,,,,,116,,,,,,,,,,,,,,,,,,100,,203
,17/05/2019,,,,,,955,,,,,,,,15,,546,,251,,"3,041",,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100
,24/05/2019,,,,,,,,,,,"2,220",,,88,,351,,80,,"3,371",,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,96
,31/05/2019,,,,,,,,,,947,,,,,,864,,,495,"1,571",,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,
,07/06/2019,,,,,,,,,,,"1,268",,,,,852,,63,,"2,719",,,,,,,,,,238,,,,,,,,,,,,,,,,,,110,,
,14/06/2019,,,,,,,,,,211,,,,,44,372,,173,93,"1,954",,,,,,,,,,464,,,,,,,,,,,,,,,,,,,,
,21/06/2019,,,,,,,,,,,399,,,,,897,,,,658,,,,,,,,,,507,,,,,,,,,,,,,,,,157,,,,
,28/06/2019,,,,,,,,,,785,,,,,,461,230,211,195,"1,088",,,,,,,,,,198,,,,,,,,,,,,,,,,45,,31,,150
,05/07/2019,,,,,,,,864,,,"1,968",,,,,687,,213,,"2,550",,,,58,,,,,,781,,,,,,,,,,,,,,,,,,,,
,12/07/2019,,,,,,,,,,534,873,,,,,286,,147,,"3,075",,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,106
,19/07/2019,,,,,,,,,,920,,,,,151,179,,,,860,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,
,26/07/2019,,,,,,,,,,282,,,,"1,874",,379,,90,14,"1,294",,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,371
,02/08/2019,,,,,,,,,,"1,105","1,060",,,,,671,,320,,"2,896",,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,510
,09/08/2019,,,,,,,,,,185,,,,,44,267,,392,,"2,496",,,,,,142,,,,,,,,,,,,,,,,,,,,156,,120,,583
,16/08/2019,,,,,,,,,,,,,,,,526,,,,"2,370",,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,
,23/08/2019,,,,,,,,,,630,695,,,161,,505,,166,,"3,785",,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,
,30/08/2019,,,,,,,,,,,825,,,,57,585,,,95,"1,725",,,,,,95,,,,,,,,,,,,,,,,,,,,,,69,,
,06/09/2019,,,,,,,,,,,,,,,,"1,019",,491,,793,,,,,,73,,,,121,,,,,,,,,,,,,,,,,,,,453
,13/09/2019,,,,,,,,,,,"1,446",,,,,375,,409,,"1,875",,,,,,,,,,817,,,,,,,,,,,,,,,,104,,,,88
,20/09/2019,,,,,,,,,,,,,,,,595,,275,,"2,018",,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,
,27/09/2019,,,,,,,,,,540,,,,"1,598",,649,,,,"1,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254
,04/10/2019,,,,,,,,,,877,,,,,,599,,258,,"3,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,295
,11/10/2019,,,,,,,,,,,,,,,,229,,71,,"3,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,278
,18/10/2019,,,,,,,,,,,23,,,,,288,,,,"3,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176
,25/10/2019,,,,,,,,,,,,,,,201,245,,149,,"2,443",,,,,,,,,,325,,,,,,,,,,,,,,,,,,55,,124
,01/11/2019,,,,,,,,,,510,,620,,,,715,,415,,"1,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513
,08/11/2019,,,,,,,,,,,,,,,,345,,,,"1,220",,,,,,,,,,622,,,,,,,,,,,,,,,,81,,,,196
,15/11/2019,,,,,,,,,,,,,,,,372,,,117,338,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,
,22/11/2019,,,,,,,,,,,"1,345",300,,,,554,,,,"1,574",,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,82
,29/11/2019,,,,,,,,153,,"1,265",,265,,,,526,,120,,"1,196",,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,
,06/12/2019,,,,,,,,,,,,300,,,,192,,,,"2,075",,,,,,,,600,,,,,,,,,,,,,,,,,,,,110,,70
,13/12/2019,,,,,,,,,,,,,,,,185,,174,,716,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,173
,20/12/2019,,,,,,,,,,,,,,,,"1,355",,160,22,"2,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27/12/2019,,,,,,,,,,,,,,"1,561",,660,,,,"1,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03/01/2020,,,,,,,,,,,,,,,,557,,136,,"2,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/01/2020,,,,,,,,,,75,,,,,,832,,536,67,"7,203",,,,,,75,,,,240,,,,,,,,,,,,,,,,,,90,,"1,194"
,17/01/2020,,,,,,,,,,880,,,,,,412,,123,,"2,899",,,,,,,,478,,845,,,,,,,,,,,,,,,,,,,102,
,24/01/2020,,,,,,,,,,,,,,,,505,,146,,"1,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31/01/2020,,,,,,,,,,,,,,,,998,,,,746,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,
,07/02/2020,,,,,,,,,,55,,,,,,"1,074",,158,225,"2,959",,,,,,224,,,,65,,,,,,,,,,,,,,,,,,,,
,14/02/2020,,,,,,,,,,,,,,,,359,,,,"1,945",,,,,,,,,,95,,,,,,,,,,,,,,,,32,,,,
,21/02/2020,,,,,,,,,,,,,,,,273,,116,,"1,048",,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,210
,28/02/2020,,,,,,,,,,,,,,,,428,,202,,401,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,296
,06/03/2020,,,,,,,,,,,,820,,,,225,,22,,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
,13/03/2020,,,,,,456,,,,,,,,,,138,,,,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20/03/2020,,,,,,,,,,,,,,,,43,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27/03/2020,,,,,,,,,,,,,,,,28,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03/04/2020,,,,,,123,,,,,,,,,,466,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,
,10/04/2020,,,,,,,,,,,,,,,,180,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,
,17/04/2020,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24/04/2020,,,,,,30,,,,,,,,,,244,,121,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01/05/2020,,,,,,535,,,,,"1,275",,,"1,811",635,653,55,65,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
,08/05/2020,,,,,,"1,469",,,,,"2,200",,,,,"1,769",,180,,124,,,,,,,,,,,,,,,,,,,,,,,,,,575,,,,
,15/05/2020,,,,,,,,,,,"3,740",,,,,"1,251",,395,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22/05/2020,,,,,,,,,,,"2,140",,,,,122,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,29/05/2020,,,,,,,,,,,"5,000",,,,,"1,304",,479,,512,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,
,05/06/2020,,,,,,,,,,210,"5,805",,,,,801,,"2,069",235,"1,131",,,,,,277,,,,65,,,,,,,,,,,,,,,,,,330,,
