,,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés
,,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois
,08/11/19,,,,,,,,,,,,,,,,"-0,4",,,,"-0,31",,,,,,,,,,"-0,29",,,,,,,,,,,,,,,,"-0,32",,,,"-0,21"
,15/11/19,,,,,,,,,,,,,,,,"-0,41",,,"-0,34","-0,3",,,,,,,,,,,,,,,,,,,,,,,,,,"-0,37",,,,
,22/11/19,,,,,,,,,,,"-0,52","-0,51",,,,"-0,39",,,,"-0,29",,,,,,,,,,"-0,28",,,,,,,,,,,,,,,,,,,,"-0,28"
,29/11/19,,,,,,,,"-0,4",,"-0,28",,"-0,51",,,,"-0,36",,"-0,4",,"-0,29",,,,,,,,,,"-0,23",,,,,,,,,,,,,,,,,,,,
,06/12/19,,,,,,,,,,,,"-0,52",,,,"-0,39",,,,"-0,27",,,,,,,,"-0,28",,,,,,,,,,,,,,,,,,,,"-0,33",,"-0,25"
,13/12/19,,,,,,,,,,,,,,,,"-0,41",,"-0,37",,"-0,27",,,,,,,,,,,,,,,,,,,,,,,,,,"-0,39",,,,"-0,22"
,20/12/19,,,,,,,,,,,,,,,,"-0,27",,"-0,35","-0,3","-0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27/12/19,,,,,,,,,,,,,,"-0,53",,"-0,37",,,,"-0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03/01/20,,,,,,,,,,,,,,,,"-0,38",,"-0,34",,"-0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/01/20,,,,,,,,,,"-0,34",,,,,,"-0,34",,"-0,35","-0,3","-0,27",,,,,,"-0,27",,,,"-0,22",,,,,,,,,,,,,,,,,,"-0,23",,"-0,21"
,17/01/20,,,,,,,,,,"-0,32",,,,,,"-0,39",,"-0,35",,"-0,25",,,,,,,,"-0,3",,"-0,23",,,,,,,,,,,,,,,,,,,"-0,26",
,24/01/20,,,,,,,,,,,,,,,,"-0,32",,"-0,34",,"-0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31/01/20,,,,,,,,,,,,,,,,"-0,36",,,,"-0,27",,,,,,,,,,"-0,28",,,,,,,,,,,,,,,,,,,,
,07/02/20,,,,,,,,,,"-0,32",,,,,,"-0,4",,"-0,39","-0,34","-0,29",,,,,,"-0,33",,,,"-0,27",,,,,,,,,,,,,,,,,,,,
,14/02/20,,,,,,,,,,,,,,,,"-0,4",,,,"-0,29",,,,,,,,,,"-0,27",,,,,,,,,,,,,,,,"-0,19",,,,
,21/02/20,,,,,,,,,,,,,,,,"-0,42",,"-0,36",,"-0,27",,,,,,"-0,3",,,,,,,,,,,,,,,,,,,,,,,,"-0,28"
,28/02/20,,,,,,,,,,,,,,,,"-0,35",,"-0,37",,"-0,3",,,,,,,,,,"-0,29",,,,,,,,,,,,,,,,,,,,"-0,22"
,06/03/20,,,,,,,,,,,,"-0,53",,,,"-0,44",,"-0,47",,"-0,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,34"
,13/03/20,,,,,,"-0,44",,,,,,,,,,"-0,49",,,,"-0,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20/03/20,,,,,,,,,,,,,,,,"-0,4",,,,"-0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27/03/20,,,,,,,,,,,,,,,,"-0,15",,,,"-0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03/04/20,,,,,,"-0,2",,,,,,,,,,"-0,29",,,,"-0,13",,,,,,,,,,,,,,,,,,,,,,,,,,"-0,15",,,,
,10/04/20,,,,,,,,,,,,,,,,"-0,15",,,,,,,,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,
,17/04/20,,,,,,,,,,,,,,,,"-0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24/04/20,,,,,,"-0,17",,,,,,,,,,"-0,26",,"-0,21",,"-0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01/05/20,,,,,,"-0,12",,,,,"-0,55",,,"-0,54","-0,26","-0,22","-0,21","-0,17",,"-0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,21",,
,08/05/20,,,,,,"-0,21",,,,,"-0,53",,,,,"-0,28",,"-0,16",,"-0,1",,,,,,,,,,,,,,,,,,,,,,,,,,"-0,2",,,,
,15/05/20,,,,,,,,,,,"-0,54",,,,,"-0,24",,"-0,16",,"-0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22/05/20,,,,,,,,,,,"-0,55",,,,,"-0,31",,"-0,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,14"
,29/05/20,,,,,,,,,,,"-0,52",,,,,"-0,28",,"-0,18",,"-0,1",,,,,,"-0,14",,,,,,,,,,,,,,,,,,,,,,,,
,05/06/20,,,,,,,,,,"-0,13","-0,51",,,,,"-0,31",,"-0,2","-0,2","-0,14",,,,,,"-0,26",,,,"0,09",,,,,,,,,,,,,,,,,,"-0,06",,
,12/06/20,,,,"-0,42",,"-0,14",,,,"-0,06","-0,53",,,,,"-0,39",,"-0,22","-0,24","-0,15",,,,,,"-0,25",,"-0,21",,"-0,08",,,,,,,,,,,,,,,,,,"-0,15",,"0,09"
,19/06/20,,,,,,"-0,39",,,,"-0,24","-0,57",,,,,"-0,43",,"-0,25",,"-0,23",,,,,,"-0,18",,,,0,,,,,,,,,,,,,,,,,,,,
,26/06/20,,,,,,,,,,,"-0,56",,,"-0,52",,"-0,45",,,,"-0,26",,,,,,,,,,"-0,15",,,,,,,,,,,,,,,,,,,,
,03/07/20,,,,,,,,,"-0,33","-0,37","-0,57",,,,,"-0,45","-0,42",,,"-0,3",,,,,,"-0,23",,,,,,,,,,,,,,,,,,,,,,,,"-0,12"
,10/07/20,,,,,,,,,,,"-0,58",,,,,"-0,43",,,,"-0,31",,,,,,,,,,"-0,14",,,,,,,,,,,,,,,,,,,,"-0,23"
,17/07/20,,,,,,,,,,"-0,38","-0,57",,,,,"-0,44",,,,"-0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24/07/20,,,,,,"-0,44",,,,"-0,39","-0,56",,,,,"-0,4",,"-0,4",,"-0,33",,,,,,,,,,"-0,05",,,,,,,,,,,,,,,,,,,,
,31/07/20,,,,,,,,,,,"-0,52",,,,,"-0,44",,,,"-0,37",,,,,,"-0,35",,,,,,,,,,,,,,,,,,,,,,,,
,07/08/20,,,,,,,,,,"-0,43","-0,54",,,,,,"-0,49","-0,46","0,73","-0,41",,,,,,,,,,"-0,31",,,,,,,,,,,,,,,,"-0,5",,,,"-0,22"
