"Date","Czechoslovakia IRS 6M Spot Fwd 2 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 3 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 4 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 5 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 10 Years Term Yield","Hungary IRS 6M Spot Fwd 2 Years Term Yield","Hungary IRS 6M Spot Fwd 3 Years Term Yield","Hungary IRS 6M Spot Fwd 4 Years Term Yield","Hungary IRS 6M Spot Fwd 5 Years Term Yield","Hungary IRS 6M Spot Fwd 10 Years Term Yield","Israel IRS Spot Fwd 2 Years Term Yield","Israel IRS Spot Fwd 3 Years Term Yield","Israel IRS Spot Fwd 4 Years Term Yield","Israel IRS Spot Fwd 5 Years Term Yield","Israel IRS Spot Fwd 10 Years Term Yield","Poland IRS 3M Spot Fwd 2 Years Term Yield","Poland IRS 3M Spot Fwd 3 Years Term Yield","Poland IRS 3M Spot Fwd 4 Years Term Yield","Poland IRS 3M Spot Fwd 5 Years Term Yield","Poland IRS 3M Spot Fwd 10 Years Term Yield","Sweden IRS Spot Fwd 2 Years Term Yield","Sweden IRS Spot Fwd 3 Years Term Yield","Sweden IRS Spot Fwd 4 Years Term Yield","Sweden IRS Spot Fwd 5 Years Term Yield","Sweden IRS Spot Fwd 10 Years Term Yield","South Africa IRS Spot Fwd 2 Years Term Yield","South Africa IRS Spot Fwd 3 Years Term Yield","South Africa IRS Spot Fwd 4 Years Term Yield","South Africa IRS Spot Fwd 5 Years Term Yield","South Africa IRS Spot Fwd 10 Years Term Yield","US $ 2 Years Term Spot Fwd Mid Rate","US $ 3 Years Term Spot Fwd Mid Rate","US $ 4 Years Term Spot Fwd Mid Rate","US $ 5 Years Term Spot Fwd Mid Rate","US $ 10 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 2 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 3 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 4 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 5 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Mid Rate"
05-Jun-15,0.46,0.565,0.688,0.8,1.26,1.642,1.842,2.105,2.4,3.325,0.31,0.545,0.808,1.09,2.205,1.931,2.141,2.331,2.496,2.958,-0.075,0.15,0.396,0.648,1.494,7.106,7.436,7.681,7.873,8.396,0.966,1.342,1.63,1.861,2.484,0.055,0.147,0.275,0.421,1.047
08-Jun-15,0.465,0.575,0.708,0.83,1.305,1.679,1.887,2.157,2.459,3.394,0.282,0.512,0.767,1.042,2.147,1.934,2.149,2.344,2.514,2.976,-0.065,0.164,0.415,0.672,1.53,7.083,7.415,7.66,7.855,8.375,0.941,1.308,1.596,1.829,2.461,0.071,0.17,0.302,0.453,1.102
09-Jun-15,0.475,0.598,0.735,0.86,1.345,1.764,1.979,2.254,2.561,3.504,0.304,0.541,0.796,1.071,2.191,1.95,2.173,2.368,2.538,3.02,-0.066,0.174,0.443,0.714,1.594,7.06,7.38,7.615,7.81,8.335,0.964,1.334,1.624,1.857,2.493,0.08,0.188,0.334,0.498,1.186
10-Jun-15,0.475,0.598,0.75,0.89,1.385,1.771,2.006,2.281,2.588,3.531,0.326,0.578,0.848,1.138,2.258,1.952,2.177,2.367,2.534,3.017,-0.064,0.183,0.459,0.738,1.632,7.05,7.385,7.63,7.83,8.375,0.986,1.367,1.667,1.91,2.555,0.077,0.186,0.332,0.5,1.213
11-Jun-15,0.465,0.585,0.728,0.855,1.355,1.729,1.974,2.239,2.509,3.442,0.31,0.562,0.835,1.125,2.25,1.938,2.153,2.338,2.495,2.95,-0.009,0.233,0.5,0.768,1.601,7.037,7.357,7.602,7.797,8.33,0.976,1.338,1.624,1.851,2.461,0.078,0.18,0.316,0.473,1.131
12-Jun-15,0.46,0.58,0.715,0.84,1.34,1.767,2.027,2.302,2.582,3.535,0.301,0.548,0.813,1.093,2.203,1.971,2.193,2.383,2.548,3.008,0.033,0.281,0.54,0.799,1.592,7.075,7.405,7.65,7.845,8.38,0.991,1.354,1.636,1.862,2.461,0.089,0.186,0.314,0.463,1.094
15-Jun-15,0.455,0.565,0.695,0.815,1.29,1.795,2.075,2.365,2.655,3.628,0.299,0.549,0.809,1.081,2.184,2.001,2.239,2.444,2.619,3.084,0.024,0.269,0.53,0.792,1.589,7.098,7.433,7.683,7.878,8.435,0.972,1.329,1.606,1.831,2.437,0.097,0.191,0.319,0.467,1.082
16-Jun-15,0.44,0.54,0.67,0.785,1.25,1.761,2.036,2.321,2.606,3.574,0.294,0.536,0.794,1.061,2.149,1.985,2.217,2.422,2.595,3.04,-0.003,0.244,0.511,0.772,1.584,7.098,7.433,7.683,7.878,8.435,0.956,1.306,1.581,1.802,2.401,0.09,0.182,0.308,0.455,1.084
17-Jun-15,0.44,0.54,0.662,0.775,1.24,1.741,2.021,2.311,2.594,3.554,0.31,0.56,0.823,1.095,2.201,1.994,2.229,2.434,2.606,3.041,0.003,0.25,0.521,0.784,1.606,7.117,7.467,7.722,7.922,8.482,0.921,1.269,1.54,1.764,2.394,0.085,0.176,0.303,0.453,1.091
18-Jun-15,0.44,0.535,0.655,0.77,1.24,1.711,1.981,2.273,2.558,3.513,0.275,0.518,0.778,1.038,2.143,1.988,2.215,2.405,2.565,3.005,-0.022,0.219,0.49,0.759,1.592,7.049,7.389,7.639,7.839,8.401,0.912,1.264,1.547,1.777,2.427,0.071,0.16,0.289,0.439,1.081
19-Jun-15,0.427,0.52,0.64,0.76,1.23,1.699,1.969,2.259,2.542,3.502,0.264,0.506,0.766,1.026,2.124,1.994,2.222,2.412,2.572,3.004,-0.022,0.219,0.49,0.759,1.592,7.063,7.413,7.661,7.858,8.423,0.877,1.217,1.49,1.715,2.347,0.069,0.155,0.278,0.421,1.05
22-Jun-15,0.43,0.53,0.665,0.795,1.3,1.672,1.932,2.212,2.49,3.425,0.392,0.652,0.92,1.187,2.282,1.952,2.162,2.342,2.494,2.934,-0.041,0.206,0.489,0.769,1.644,7.004,7.344,7.587,7.777,8.332,0.904,1.259,1.546,1.785,2.441,0.056,0.16,0.305,0.472,1.15
23-Jun-15,0.43,0.53,0.665,0.795,1.3,1.645,1.893,2.163,2.433,3.363,0.391,0.666,0.949,1.229,2.329,1.932,2.132,2.304,2.449,2.877,-0.037,0.211,0.495,0.775,1.642,7.01,7.345,7.585,7.775,8.328,0.925,1.288,1.581,1.823,2.493,0.053,0.152,0.292,0.454,1.134
24-Jun-15,0.425,0.52,0.645,0.765,1.265,1.635,1.883,2.153,2.423,3.353,0.4,0.69,0.98,1.265,2.37,1.935,2.133,2.308,2.455,2.883,-0.046,0.202,0.485,0.762,1.62,6.975,7.295,7.525,7.712,8.262,0.905,1.267,1.557,1.794,2.462,0.052,0.148,0.284,0.442,1.109
25-Jun-15,0.42,0.52,0.647,0.77,1.285,1.64,1.888,2.158,2.428,3.358,0.405,0.705,1.005,1.295,2.4,1.927,2.125,2.295,2.44,2.86,-0.04,0.206,0.483,0.762,1.626,6.967,7.281,7.514,7.704,8.261,0.916,1.282,1.575,1.817,2.488,0.047,0.143,0.282,0.443,1.126
26-Jun-15,0.43,0.535,0.665,0.79,1.323,1.648,1.893,2.163,2.433,3.363,0.425,0.745,1.06,1.36,2.48,1.938,2.141,2.316,2.468,2.903,-0.028,0.224,0.502,0.783,1.666,7.01,7.345,7.59,7.785,8.345,0.944,1.319,1.618,1.867,2.564,0.058,0.158,0.303,0.473,1.179
29-Jun-15,0.41,0.51,0.637,0.76,1.29,1.692,1.952,2.242,2.532,3.492,0.39,0.705,1.02,1.32,2.44,1.97,2.182,2.377,2.542,2.997,-0.031,0.212,0.482,0.756,1.614,6.994,7.354,7.624,7.829,8.399,0.888,1.239,1.522,1.759,2.436,0.053,0.142,0.273,0.426,1.09
30-Jun-15,0.41,0.505,0.623,0.738,1.262,1.675,1.92,2.198,2.475,3.428,0.38,0.69,1,1.297,2.415,1.942,2.15,2.34,2.507,2.967,-0.045,0.2,0.473,0.747,1.608,6.94,7.28,7.545,7.752,8.33,0.892,1.242,1.528,1.767,2.442,0.047,0.134,0.262,0.413,1.076
01-Jul-15,0.41,0.51,0.635,0.757,1.298,1.672,1.917,2.195,2.472,3.425,0.391,0.704,1.016,1.319,2.439,1.935,2.137,2.325,2.492,2.955,-0.053,0.193,0.469,0.746,1.635,6.971,7.296,7.556,7.761,8.336,0.935,1.298,1.592,1.838,2.517,0.042,0.131,0.261,0.415,1.121
02-Jul-15,0.41,0.515,0.652,0.785,1.35,1.68,1.927,2.207,2.49,3.447,0.384,0.697,1.009,1.307,2.424,1.928,2.123,2.305,2.465,2.923,-0.134,0.121,0.409,0.693,1.6,6.96,7.28,7.538,7.74,8.315,0.897,1.255,1.547,1.79,2.5,0.039,0.13,0.266,0.424,1.151
06-Jul-15,0.39,0.485,0.605,0.72,1.255,1.67,1.92,2.202,2.49,3.46,0.358,0.651,0.951,1.243,2.366,1.909,2.101,2.286,2.451,2.926,-0.15,0.088,0.348,0.619,1.541,6.973,7.298,7.555,7.758,8.338,0.851,1.188,1.468,1.706,2.397,0.039,0.116,0.239,0.39,1.082
07-Jul-15,0.36,0.445,0.55,0.655,1.155,1.652,1.887,2.152,2.42,3.307,0.322,0.592,0.878,1.16,2.26,1.849,2.027,2.202,2.354,2.809,-0.174,0.049,0.3,0.558,1.422,6.945,7.27,7.523,7.723,8.303,0.83,1.163,1.441,1.677,2.354,0.033,0.1,0.209,0.347,0.969
08-Jul-15,0.35,0.425,0.525,0.625,1.135,1.619,1.839,2.091,2.349,3.239,0.324,0.597,0.884,1.169,2.282,1.798,1.945,2.095,2.233,2.67,-0.16,0.061,0.323,0.585,1.42,6.891,7.206,7.451,7.651,8.236,0.801,1.129,1.403,1.638,2.324,0.027,0.1,0.218,0.361,0.992
09-Jul-15,0.355,0.43,0.535,0.64,1.165,1.59,1.79,2.02,2.26,3.147,0.326,0.606,0.899,1.186,2.306,1.795,1.93,2.065,2.193,2.625,-0.151,0.069,0.327,0.588,1.434,6.864,7.164,7.401,7.599,8.181,0.841,1.18,1.463,1.705,2.407,0.031,0.108,0.228,0.373,1.038
10-Jul-15,0.36,0.45,0.57,0.695,1.285,1.581,1.786,2.021,2.261,3.144,0.345,0.64,0.937,1.23,2.37,1.829,1.981,2.129,2.264,2.719,-0.128,0.1,0.385,0.662,1.544,6.89,7.2,7.445,7.648,8.235,0.911,1.266,1.556,1.8,2.506,0.051,0.152,0.295,0.463,1.178
13-Jul-15,0.35,0.43,0.545,0.67,1.265,1.586,1.791,2.034,2.281,3.169,0.354,0.662,0.979,1.287,2.454,1.839,1.997,2.149,2.294,2.769,-0.114,0.122,0.407,0.686,1.581,6.898,7.208,7.45,7.653,8.24,0.92,1.277,1.573,1.821,2.517,0.031,0.126,0.262,0.422,1.144
14-Jul-15,0.35,0.43,0.545,0.665,1.25,1.575,1.78,2.023,2.27,3.16,0.323,0.621,0.933,1.236,2.391,1.83,1.985,2.14,2.282,2.772,-0.114,0.122,0.407,0.686,1.581,6.855,7.145,7.378,7.573,8.155,0.894,1.245,1.534,1.778,2.476,0.025,0.116,0.248,0.404,1.124
15-Jul-15,0.355,0.43,0.54,0.655,1.215,1.576,1.781,2.023,2.271,3.161,0.309,0.594,0.889,1.179,2.294,1.81,1.957,2.107,2.245,2.722,-0.135,0.108,0.381,0.645,1.493,6.862,7.139,7.359,7.544,8.129,0.875,1.218,1.501,1.74,2.428,0.018,0.1,0.224,0.372,1.06
16-Jul-15,0.355,0.43,0.54,0.66,1.23,1.579,1.781,2.021,2.269,3.144,0.305,0.593,0.893,1.18,2.295,1.798,1.946,2.096,2.233,2.711,-0.123,0.118,0.386,0.658,1.499,6.818,7.073,7.273,7.446,8.038,0.908,1.252,1.532,1.764,2.434,0.021,0.107,0.235,0.387,1.074
17-Jul-15,0.355,0.435,0.545,0.66,1.2,1.567,1.767,1.992,2.227,3.052,0.301,0.586,0.881,1.166,2.281,1.762,1.897,2.037,2.17,2.62,-0.142,0.095,0.361,0.623,1.448,6.833,7.083,7.281,7.453,8.023,0.928,1.274,1.555,1.789,2.435,0.018,0.096,0.213,0.356,1.023
20-Jul-15,0.345,0.425,0.53,0.64,1.17,1.573,1.778,2,2.233,3.058,0.303,0.588,0.883,1.165,2.265,1.74,1.87,2.008,2.138,2.59,-0.14,0.091,0.354,0.615,1.433,6.891,7.151,7.356,7.531,8.096,0.962,1.309,1.59,1.824,2.454,0.019,0.093,0.209,0.349,0.999
21-Jul-15,0.35,0.43,0.54,0.655,1.17,1.623,1.83,2.05,2.273,3.053,0.296,0.581,0.871,1.148,2.243,1.763,1.898,2.043,2.178,2.631,-0.148,0.078,0.332,0.593,1.434,6.899,7.157,7.357,7.529,8.109,0.946,1.287,1.562,1.791,2.424,0.015,0.091,0.207,0.35,1.011
22-Jul-15,0.35,0.432,0.542,0.657,1.177,1.602,1.795,2.002,2.215,2.977,0.286,0.561,0.843,1.116,2.203,1.759,1.889,2.029,2.159,2.599,-0.149,0.076,0.323,0.578,1.404,6.848,7.1,7.293,7.46,8.045,0.959,1.3,1.573,1.797,2.411,0.016,0.085,0.194,0.328,0.968
23-Jul-15,0.34,0.41,0.515,0.63,1.15,1.628,1.833,2.053,2.275,3.055,0.295,0.57,0.853,1.125,2.225,1.775,1.91,2.055,2.185,2.63,-0.155,0.062,0.302,0.551,1.376,6.893,7.13,7.315,7.48,8.038,0.945,1.281,1.548,1.762,2.361,0.018,0.086,0.196,0.331,0.98
24-Jul-15,0.33,0.4,0.5,0.61,1.11,1.625,1.825,2.04,2.257,3.057,0.289,0.559,0.834,1.099,2.194,1.756,1.886,2.026,2.154,2.589,-0.166,0.046,0.276,0.516,1.326,6.952,7.197,7.382,7.545,8.092,0.931,1.265,1.531,1.749,2.355,0.016,0.079,0.181,0.307,0.927
27-Jul-15,0.33,0.4,0.505,0.61,1.09,1.617,1.812,2.024,2.237,3.037,0.276,0.541,0.806,1.066,2.161,1.745,1.875,2.014,2.141,2.574,-0.165,0.049,0.283,0.523,1.324,7.012,7.262,7.449,7.612,8.152,0.906,1.225,1.485,1.702,2.312,0.019,0.083,0.186,0.313,0.922
28-Jul-15,0.33,0.405,0.51,0.62,1.1,1.61,1.815,2.038,2.268,3.098,0.286,0.551,0.816,1.076,2.171,1.755,1.889,2.037,2.167,2.607,-0.162,0.056,0.298,0.543,1.349,6.999,7.259,7.457,7.629,8.169,0.914,1.236,1.5,1.718,2.33,0.014,0.082,0.186,0.314,0.933
29-Jul-15,0.315,0.39,0.495,0.605,1.105,1.605,1.815,2.05,2.29,3.125,0.301,0.566,0.831,1.091,2.201,1.764,1.909,2.069,2.204,2.644,-0.153,0.062,0.303,0.55,1.376,6.991,7.246,7.441,7.611,8.146,0.924,1.252,1.516,1.736,2.356,0.011,0.081,0.188,0.321,0.962
30-Jul-15,0.32,0.395,0.5,0.61,1.1,1.6,1.815,2.055,2.295,3.145,0.309,0.574,0.841,1.101,2.206,1.782,1.932,2.094,2.232,2.682,-0.15,0.06,0.293,0.532,1.346,7.039,7.304,7.506,7.681,8.231,0.962,1.285,1.544,1.753,2.352,0.011,0.077,0.178,0.301,0.913
31-Jul-15,0.32,0.395,0.5,0.61,1.09,1.605,1.82,2.045,2.265,3.105,0.302,0.57,0.837,1.097,2.177,1.772,1.926,2.088,2.232,2.684,-0.15,0.064,0.305,0.549,1.352,7.041,7.319,7.531,7.709,8.259,0.908,1.225,1.477,1.684,2.292,0.008,0.076,0.176,0.301,0.905
03-Aug-15,0.32,0.39,0.49,0.6,1.065,1.6,1.81,2.03,2.25,3.08,0.285,0.55,0.815,1.075,2.155,1.781,1.933,2.097,2.239,2.687,-0.148,0.062,0.3,0.543,1.351,7.028,7.315,7.535,7.715,8.265,0.899,1.205,1.448,1.651,2.236,0.005,0.072,0.171,0.293,0.896
04-Aug-15,0.325,0.395,0.495,0.6,1.065,1.6,1.82,2.04,2.255,3.085,0.286,0.546,0.816,1.076,2.161,1.78,1.929,2.092,2.232,2.679,-0.156,0.051,0.285,0.522,1.328,6.987,7.26,7.465,7.635,8.185,0.959,1.275,1.523,1.724,2.297,0.003,0.069,0.17,0.294,0.905
05-Aug-15,0.355,0.43,0.535,0.645,1.16,1.625,1.845,2.07,2.295,3.14,0.33,0.61,0.89,1.16,2.265,1.823,1.991,2.171,2.318,2.783,-0.148,0.068,0.31,0.555,1.401,7.026,7.31,7.525,7.705,8.255,0.976,1.304,1.563,1.774,2.357,0.009,0.084,0.195,0.33,0.999
06-Aug-15,0.35,0.435,0.55,0.665,1.165,1.61,1.84,2.065,2.29,3.12,0.32,0.6,0.88,1.15,2.255,1.809,1.982,2.164,2.317,2.782,-0.172,0.042,0.284,0.536,1.37,6.99,7.27,7.48,7.65,8.185,0.96,1.285,1.542,1.748,2.324,0.011,0.086,0.194,0.324,0.961
07-Aug-15,0.345,0.43,0.545,0.655,1.125,1.6,1.82,2.04,2.26,3.08,0.311,0.586,0.866,1.136,2.241,1.804,1.958,2.119,2.268,2.736,-0.19,0.019,0.253,0.499,1.321,6.959,7.23,7.425,7.59,8.12,0.972,1.286,1.525,1.716,2.264,0.003,0.072,0.171,0.293,0.916
10-Aug-15,0.345,0.425,0.542,0.66,1.12,1.59,1.805,2.025,2.245,3.06,0.295,0.57,0.85,1.12,2.215,1.788,1.935,2.095,2.234,2.699,-0.198,0.004,0.239,0.493,1.334,6.959,7.23,7.425,7.59,8.12,0.983,1.301,1.548,1.749,2.319,0.003,0.076,0.182,0.309,0.956
11-Aug-15,0.34,0.415,0.522,0.635,1.095,1.56,1.755,1.965,2.175,2.98,0.28,0.545,0.815,1.08,2.17,1.757,1.891,2.031,2.163,2.623,-0.216,-0.025,0.201,0.445,1.257,6.959,7.225,7.43,7.595,8.13,0.924,1.228,1.468,1.662,2.221,-0.002,0.062,0.16,0.279,0.885
12-Aug-15,0.335,0.41,0.517,0.63,1.07,1.541,1.713,1.916,2.121,2.926,0.25,0.5,0.76,1.01,2.08,1.733,1.85,1.975,2.095,2.542,-0.229,-0.042,0.169,0.404,1.208,6.949,7.215,7.41,7.57,8.08,0.906,1.209,1.446,1.642,2.213,-0.006,0.058,0.154,0.271,0.868
13-Aug-15,0.34,0.415,0.525,0.64,1.095,1.549,1.727,1.934,2.142,2.952,0.26,0.515,0.78,1.035,2.125,1.737,1.855,1.984,2.105,2.553,-0.166,0.038,0.262,0.499,1.281,6.962,7.225,7.42,7.58,8.1,0.952,1.26,1.504,1.702,2.264,-0.002,0.064,0.164,0.285,0.892
14-Aug-15,0.34,0.415,0.53,0.65,1.115,1.542,1.707,1.914,2.127,2.957,0.26,0.51,0.77,1.025,2.12,1.701,1.814,1.934,2.05,2.49,-0.165,0.043,0.272,0.513,1.308,6.969,7.23,7.43,7.59,8.11,0.971,1.284,1.524,1.719,2.271,0.003,0.074,0.178,0.302,0.918
17-Aug-15,0.345,0.42,0.535,0.655,1.11,1.542,1.707,1.915,2.127,2.957,0.24,0.485,0.74,0.985,2.05,1.687,1.797,1.914,2.031,2.474,-0.165,0.035,0.26,0.498,1.292,6.992,7.255,7.46,7.625,8.155,0.949,1.25,1.485,1.676,2.225,0.002,0.072,0.171,0.29,0.899
18-Aug-15,0.34,0.417,0.527,0.645,1.11,1.545,1.717,1.932,2.15,3,0.24,0.49,0.75,0.995,2.06,1.687,1.797,1.914,2.031,2.474,-0.171,0.023,0.249,0.489,1.289,7.018,7.298,7.513,7.685,8.228,0.953,1.258,1.499,1.697,2.268,0.002,0.073,0.175,0.296,0.908
19-Aug-15,0.335,0.41,0.52,0.635,1.095,1.541,1.708,1.923,2.141,2.996,0.23,0.475,0.735,0.985,2.055,1.69,1.8,1.925,2.045,2.483,-0.185,0.003,0.226,0.464,1.267,7.029,7.324,7.547,7.727,8.272,0.893,1.19,1.425,1.62,2.206,0.002,0.07,0.169,0.286,0.898
20-Aug-15,0.33,0.4,0.502,0.61,1.05,1.539,1.699,1.912,2.127,2.982,0.223,0.465,0.713,0.95,1.99,1.683,1.786,1.903,2.018,2.451,-0.197,-0.013,0.205,0.437,1.224,7.016,7.301,7.516,7.691,8.229,0.902,1.194,1.425,1.61,2.163,-0.005,0.057,0.15,0.261,0.849
21-Aug-15,0.33,0.4,0.5,0.605,1.055,1.539,1.699,1.912,2.127,2.982,0.222,0.462,0.707,0.942,1.982,1.687,1.794,1.912,2.027,2.464,-0.2,-0.012,0.205,0.438,1.226,7.047,7.337,7.557,7.734,8.267,0.855,1.141,1.369,1.557,2.126,-0.005,0.059,0.151,0.26,0.852
24-Aug-15,0.325,0.39,0.487,0.59,1.035,1.584,1.764,1.994,2.227,3.132,0.225,0.453,0.69,0.923,1.943,1.708,1.834,1.973,2.105,2.54,-0.225,-0.035,0.184,0.414,1.191,7.204,7.517,7.754,7.939,8.427,0.785,1.061,1.289,1.482,2.067,0.003,0.067,0.161,0.273,0.845
25-Aug-15,0.345,0.417,0.527,0.64,1.12,1.59,1.777,2.012,2.25,3.167,0.243,0.483,0.738,0.983,2.003,1.732,1.889,2.061,2.216,2.676,-0.207,-0.003,0.237,0.49,1.327,7.122,7.437,7.677,7.862,8.359,0.838,1.133,1.377,1.588,2.197,0.013,0.099,0.219,0.358,1.005
26-Aug-15,0.35,0.425,0.53,0.64,1.115,1.539,1.699,1.912,2.127,2.982,0.229,0.469,0.724,0.971,1.996,1.723,1.868,2.028,2.173,2.633,-0.213,-0.019,0.214,0.461,1.294,7.132,7.447,7.679,7.862,8.369,0.807,1.103,1.354,1.57,2.22,0.006,0.079,0.187,0.314,0.94
27-Aug-15,0.35,0.425,0.53,0.645,1.13,1.57,1.75,1.988,2.233,3.17,0.224,0.459,0.714,0.961,2.001,1.726,1.871,2.031,2.176,2.633,-0.205,-0.004,0.233,0.485,1.331,7.049,7.351,7.581,7.761,8.264,0.826,1.124,1.373,1.586,2.229,0.006,0.083,0.192,0.321,0.967
28-Aug-15,0.35,0.425,0.53,0.64,1.12,1.57,1.74,1.96,2.2,3.125,0.221,0.456,0.711,0.961,2.001,1.716,1.861,2.02,2.162,2.619,-0.204,-0.003,0.232,0.482,1.321,7.058,7.358,7.588,7.768,8.271,0.877,1.174,1.419,1.626,2.243,0.006,0.084,0.193,0.323,0.958
31-Aug-15,0.35,0.425,0.53,0.64,1.12,1.57,1.74,1.96,2.2,3.125,0.221,0.456,0.711,0.961,2.001,1.716,1.861,2.02,2.162,2.619,-0.203,-0.003,0.232,0.482,1.321,7.058,7.358,7.588,7.768,8.271,0.892,1.192,1.436,1.641,2.254,0.006,0.084,0.194,0.323,0.958
01-Sep-15,0.365,0.443,0.55,0.665,1.155,1.571,1.763,2.006,2.261,3.211,0.245,0.485,0.745,1,2.055,1.739,1.894,2.069,2.224,2.691,-0.202,0.011,0.261,0.525,1.411,7.106,7.421,7.658,7.846,8.356,0.847,1.14,1.385,1.593,2.209,0.008,0.094,0.217,0.359,1.035
02-Sep-15,0.365,0.443,0.55,0.66,1.16,1.582,1.782,2.037,2.305,3.282,0.24,0.483,0.743,1,2.065,1.739,1.902,2.084,2.244,2.714,-0.199,0.014,0.262,0.524,1.405,7.118,7.428,7.668,7.858,8.37,0.848,1.145,1.396,1.609,2.241,0.003,0.085,0.206,0.345,1.02
03-Sep-15,0.375,0.448,0.552,0.66,1.145,1.556,1.736,1.976,2.233,3.193,0.23,0.48,0.745,1.007,2.08,1.723,1.88,2.057,2.205,2.673,-0.172,0.03,0.258,0.504,1.366,7.154,7.464,7.701,7.889,8.394,0.84,1.132,1.375,1.584,2.228,-0.008,0.063,0.173,0.304,0.969
04-Sep-15,0.315,0.385,0.49,0.6,1.09,1.558,1.733,1.971,2.231,3.198,0.229,0.479,0.744,1.005,2.099,1.694,1.843,2.002,2.147,2.614,-0.18,0.015,0.237,0.474,1.313,7.257,7.567,7.8,7.982,8.482,0.835,1.114,1.348,1.549,2.177,-0.012,0.057,0.158,0.28,0.907
08-Sep-15,0.27,0.33,0.435,0.54,1.045,1.544,1.729,1.976,2.251,3.241,0.236,0.491,0.761,1.021,2.151,1.702,1.849,2.012,2.156,2.644,-0.193,-0.006,0.21,0.441,1.287,7.248,7.558,7.783,7.958,8.456,0.861,1.144,1.383,1.589,2.228,-0.008,0.058,0.159,0.28,0.916
09-Sep-15,0.275,0.338,0.445,0.55,1.07,1.511,1.698,1.948,2.228,3.223,0.243,0.51,0.793,1.07,2.225,1.702,1.85,2.015,2.162,2.652,-0.183,0.005,0.222,0.455,1.314,7.202,7.502,7.727,7.907,8.407,0.86,1.136,1.367,1.565,2.191,-0.009,0.061,0.166,0.293,0.95
10-Sep-15,0.27,0.333,0.435,0.535,1.055,1.501,1.691,1.941,2.221,3.216,0.241,0.513,0.798,1.077,2.221,1.694,1.839,2.003,2.146,2.632,-0.188,-0.004,0.211,0.442,1.295,7.203,7.508,7.733,7.913,8.416,0.869,1.15,1.39,1.593,2.23,-0.009,0.057,0.158,0.28,0.929
11-Sep-15,0.255,0.31,0.405,0.5,1.015,1.468,1.638,1.878,2.151,3.131,0.241,0.513,0.799,1.076,2.221,1.7,1.834,1.988,2.125,2.595,-0.174,0.017,0.222,0.451,1.29,7.185,7.498,7.723,7.905,8.41,0.851,1.13,1.365,1.569,2.206,-0.013,0.049,0.145,0.26,0.89
14-Sep-15,0.255,0.315,0.405,0.495,1.005,1.463,1.633,1.873,2.145,3.125,0.241,0.513,0.799,1.076,2.221,1.682,1.81,1.954,2.089,2.559,-0.18,0.012,0.226,0.455,1.301,7.184,7.5,7.73,7.91,8.425,0.864,1.137,1.369,1.573,2.211,-0.017,0.045,0.141,0.257,0.893
15-Sep-15,0.28,0.34,0.435,0.535,1.07,1.48,1.657,1.902,2.18,3.16,0.241,0.513,0.799,1.076,2.221,1.708,1.845,2.002,2.147,2.619,-0.159,0.05,0.279,0.524,1.392,7.146,7.455,7.685,7.865,8.385,0.91,1.196,1.438,1.65,2.302,-0.013,0.062,0.174,0.307,0.985
16-Sep-15,0.29,0.355,0.453,0.555,1.105,1.46,1.63,1.87,2.145,3.12,0.227,0.497,0.784,1.069,2.217,1.708,1.84,1.995,2.135,2.615,-0.129,0.079,0.316,0.566,1.43,7.12,7.43,7.66,7.843,8.378,0.915,1.204,1.448,1.661,2.317,-0.006,0.07,0.184,0.322,1.012
17-Sep-15,0.29,0.355,0.453,0.555,1.105,1.458,1.618,1.853,2.125,3.085,0.235,0.5,0.785,1.061,2.2,1.694,1.822,1.973,2.107,2.577,-0.122,0.096,0.337,0.593,1.47,7.151,7.456,7.686,7.866,8.408,0.823,1.104,1.35,1.564,2.239,0.003,0.082,0.2,0.339,1.01
18-Sep-15,0.28,0.34,0.425,0.515,1.025,1.42,1.55,1.765,2.02,2.92,0.19,0.425,0.685,0.95,2.075,1.652,1.764,1.893,2.018,2.472,-0.164,0.039,0.264,0.505,1.353,7.008,7.301,7.523,7.703,8.258,0.799,1.075,1.308,1.513,2.161,-0.018,0.051,0.157,0.284,0.923
21-Sep-15,0.285,0.345,0.427,0.52,1.045,1.419,1.549,1.761,2.014,2.914,0.171,0.406,0.666,0.931,2.026,1.65,1.763,1.89,2.013,2.468,-0.164,0.035,0.257,0.497,1.354,7.038,7.333,7.558,7.741,8.301,0.829,1.109,1.346,1.554,2.217,-0.019,0.051,0.159,0.287,0.945
22-Sep-15,0.28,0.33,0.4,0.485,0.975,1.401,1.506,1.708,1.953,2.853,0.171,0.406,0.666,0.931,2.026,1.624,1.717,1.832,1.955,2.437,-0.177,0.016,0.234,0.467,1.311,7.065,7.358,7.58,7.763,8.328,0.787,1.053,1.279,1.481,2.131,-0.045,0.017,0.118,0.24,0.87
